,Area,Production,Rainfall,Season,Temperature,Crop
18482,28625.0,1784483.0,143.636,Kharif,28.29966666666667,Sugarcane
33522,138347.0,258707.0,8.578999999999999,Rabi,20.5355,Wheat
906,610.0,3547.0,56.61,Rabi,23.53475,Onion
44939,200.0,300.0,223.2555,Summer,30.27225,Maize
63610,33000.0,23100.0,127.5656666666667,Kharif,26.343000000000004,Moong(Green Gram)
61397,7700.0,3500.0,71.837,Kharif,29.35433333333333,Urad
52250,7425.0,3438.0,159.93233333333333,Kharif,28.10733333333333,Arhar/Tur
43187,4842.0,4019.0,132.89600000000002,Kharif,28.84666666666667,Arhar/Tur
63758,842.0,1880.0,127.488,Summer,26.2845,Maize
71390,4500.0,700.0,139.0453333333333,Kharif,26.061,Sesamum
2887,84.0,1895.0,18.5855,Rabi,20.58425,Onion
94288,22276.0,49809.0,77.87566666666667,Kharif,28.67,Rice
52110,213.0,217.0,148.1115656426826,Whole Year,27.18932774020223,Dry chillies
38738,1200.0,200.0,28.41175,Rabi,23.89325,Rapeseed &Mustard
13592,35.0,613.0,51.5255,Rabi,25.116,Onion
4315,1392.0,888.0,23.859,Rabi,21.21025,Rapeseed &Mustard
44068,119.0,733.0,183.7835,Summer,24.69825,Onion
76793,155.0,3608.0,282.662288435571,Whole Year,26.37598350694445,Sugarcane
27713,99.0,199.0,55.92333333333334,Kharif,27.175,Maize
46712,140.0,80.0,152.313,Kharif,28.537,Urad
9607,6479.0,117417.0,15.693,Rabi,20.724,Potato
91756,7800.0,8200.0,203.85733333333332,Kharif,21.388,Maize
95732,1556.0,1352.0,170.12,Kharif,28.34,Arhar/Tur
45728,49.0,76.0,180.5836556712963,Whole Year,25.196951388888888,Onion
2447,25481.0,14091.0,118.0556666666667,Kharif,29.28533333333333,Urad
67225,4125.0,200013.0,89.83299999999998,Whole Year,26.15958333333333,Sugarcane
88616,373.0,437.0,110.8565,Autumn,23.266,Maize
87492,480.0,1505.0,385.65775,Summer,27.39475,Rice
20392,292.0,2140.0,196.29926041666667,Whole Year,26.63469791666667,Onion
33562,148.97,1383.0,25.67725,Winter,20.4015,Potato
35622,1.0,2.0,224.52475,Summer,30.6515,Rice
88170,87461.0,133000.0,5.3825,Rabi,19.73175,Rapeseed &Mustard
61472,1132.0,104.1,46.691,Autumn,23.4695,Sesamum
43031,159.0,513.0,227.79010928922955,Whole Year,24.98449214670485,Onion
42620,45600.0,39400.0,25.34425,Rabi,20.6775,Gram
96092,215.0,2143.0,97.48861958587406,Whole Year,27.150009240845648,Onion
68747,1000.0,2500.0,36.403,Rabi,24.4575,Maize
81945,269.0,161.0,324.51099999999997,Kharif,27.30366666666667,Maize
43970,4000.0,12000.0,92.89,Rabi,25.372,Dry chillies
64882,1539.0,1781.0,152.08325,Summer,29.1685,Groundnut
95279,125.0,2859.0,17.06925,Rabi,20.75725,Onion
35187,479.0,251.0,22.81525,Rabi,18.88325,Moong(Green Gram)
32230,78430.0,46325.0,33.57233333333334,Kharif,27.13066666666667,Rice
52289,5376.0,2546.0,26.23266666666666,Kharif,29.191999999999997,Sesamum
35373,2.0,4.0,241.34233333333336,Kharif,20.309333333333328,Onion
43837,1132.0,9152.0,68.26914120370371,Whole Year,28.830006944444452,Potato
81382,55.0,41.0,165.47033333333331,Kharif,26.75433333333334,Groundnut
55402,705.0,516.0,244.4573333333334,Kharif,28.63333333333334,Urad
52057,15298.0,21589.0,224.37366666666668,Kharif,27.91333333333333,Maize
90552,108955.0,104539.0,3.86775,Rabi,19.4,Gram
23577,14082.0,13440.0,5.78875,Rabi,11.27525,Wheat
32028,6440.0,153164.0,61.46684027777778,Whole Year,27.75907638888889,Potato
95429,6000.0,6300.0,198.8945,Summer,27.219,Groundnut
70160,5241.0,162258.0,26.93625,Rabi,23.58675,Onion
20317,925.0,1721.0,224.418,Kharif,26.98266666666667,Maize
51831,107.0,30.8,228.35325,Summer,27.40525,Sesamum
31672,629.0,1268.0,124.456,Kharif,26.463,Maize
5647,37501.0,69047.0,108.00025,Autumn,24.74575,Rice
75156,341765.0,1139960.0,9.74925,Rabi,20.141,Wheat
91790,10.0,62.0,93.25400000000002,Kharif,25.678,Rice
91721,430.0,68.0,19.97825,Rabi,22.87125,Rapeseed &Mustard
81933,28.0,11.0,159.0173333333333,Kharif,28.10266666666666,Moong(Green Gram)
25390,54400.0,38700.0,49.85675000000001,Rabi,24.09025,Gram
67354,303.0,20264.0,122.63089905087459,Whole Year,28.24257112785504,Sugarcane
97685,400.0,827.0,373.24699999999996,Summer,25.116,Jowar
49973,2600.0,4400.0,61.87600000000001,Kharif,28.213,Jowar
19688,8678.0,14402.0,71.0523733603395,Whole Year,28.562446855709876,Dry chillies
48848,959.0,660.0,334.345,Kharif,24.35533333333333,Arhar/Tur
20945,150.0,110.0,30.745,Rabi,18.5485,Gram
55270,1352.0,911.0,182.17766666666668,Kharif,27.61866666666667,Arhar/Tur
15155,3.0,8.0,129.283,Summer,27.77775,Maize
63753,271.0,958.0,243.0,Kharif,28.76666666666667,Maize
66217,4191.0,47098.0,92.02666666666666,Kharif,27.153000000000002,Maize
40485,173.0,1179.2,3.5445,Winter,21.82925,Potato
54495,4530.0,458083.0,85.81127396873192,Whole Year,30.75510338445663,Sugarcane
80745,15.0,32.0,146.465,Rabi,24.78625,Maize
32163,418.0,340.0,232.6401479049302,Whole Year,23.663855703911423,Dry chillies
43478,76.0,1748.0,3.22775,Rabi,21.631999999999998,Onion
28154,162.0,1448.0,102.36966594328699,Whole Year,28.7991490162037,Onion
5845,11834.0,8331.0,108.4373333333333,Kharif,29.00433333333334,Moong(Green Gram)
15375,679.0,517.0,170.99599999999995,Kharif,25.06566666666667,Groundnut
44972,200.0,200.0,52.292478314919975,Whole Year,29.986380702540306,Dry chillies
27179,23.0,20.0,75.5005,Summer,25.046,Dry chillies
90079,51.0,2452.0,85.62028472222222,Whole Year,27.02213194444445,Sugarcane
45644,12200.0,9300.0,55.73349999999999,Rabi,24.771,Groundnut
91677,5.0,2.7,208.6875,Summer,29.241,Moong(Green Gram)
3167,104.0,45.0,52.0215,Rabi,18.2845,Gram
26156,25281.0,7003.0,178.58599999999996,Kharif,28.00533333333334,Moong(Green Gram)
85407,106000.0,421000.0,36.421,Kharif,29.61866666666667,Rice
69927,1917.0,3278.0,147.32233333333332,Kharif,24.78366666666667,Dry chillies
76381,33471.0,11609.0,40.00525,Rabi,19.55325,Rapeseed &Mustard
22952,5217.0,4867.0,34.87875,Rabi,20.6955,Gram
47185,69859.0,133513.0,12.88175,Winter,19.739,Rice
70028,7358.0,8947.0,6.7620000000000005,Rabi,20.54375,Gram
71866,99780.0,390622.0,4.556,Winter,20.59475,Rice
15767,2000.0,600.0,36.673333333333346,Kharif,24.441999999999997,Moong(Green Gram)
88158,7492.0,6327.0,33.21925,Rabi,23.08025,Gram
21418,102240.0,314455.0,189.537,Kharif,27.34800000000001,Rice
12562,22728.0,4787.0,191.062,Kharif,26.21033333333333,Urad
92463,5740.0,2040.0,188.54466666666667,Kharif,25.60133333333333,Arhar/Tur
74305,50.0,47.0,87.99690682062644,Whole Year,29.8010732485609,Onion
68322,1268.0,1298.0,107.1006666666667,Kharif,29.39133333333333,Arhar/Tur
55088,1830.0,954.0,236.3133333333334,Kharif,24.10266666666666,Arhar/Tur
147,78658.0,206477.0,220.361,Kharif,26.05566666666667,Rice
