,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Lucknow,15.472,18.264,24.687,29.915,34.13,34.308,30.642,29.83,29.189,25.901,20.749,16.249
1,Pilibhit,14.949,17.327,22.735,28.909,32.548,33.116,29.989,29.171,28.675,25.702,21.027,15.779
2,Basti,15.976,18.463,24.419,29.728,32.821,33.095,30.001,29.253,28.914,26.352,21.273,16.717
3,Basti,15.976,18.463,24.419,29.728,32.821,33.095,30.001,29.253,28.914,26.352,21.273,16.717
4,Meerut,14.22,16.771,22.551,28.626,32.663,33.671,30.933,29.506,29.343,26.132,20.18,15.133
5,Saharanpur,14.915,17.523,23.04,29.342,33.092,33.737,30.542,29.359,29.013,26.022,20.841,16.03
6,Gorakhpur,16.285,18.895,24.667,30.213,33.11,33.06,29.888,29.121,28.808,26.725,21.518,16.992
7,Pratapgarh,16.148,18.928,24.967,30.481,34.274,34.04,30.237,28.989,28.749,26.605,20.987,16.696
8,Agra,14.971,18.118,24.1677,30.092,34.197,34.73,30.677,29.277,29.002,26.604,21.164,16.234
9,Aligarh,14.84,17.514,23.314,29.427,33.765,34.462,31.278,29.612,29.549,26.826,20.869,15.82
10,Ghaziabad,16.525,19.072,24.73,30.22,33.47,33.22,29.92,29.1,28.82,26.94,21.54,17.04
11,Jaunpur,16.58,19.02,25.19,30.37,34.11,33.87,30.07,29.37,28.67,26.89,21.56,17.19
12,Kheri,15.49,17.6,23.34,29.37,32.79,33.2,30.4,29.4,28.92,26.36,21.15,16.22
13,Mahoba,15.75,18.39,24.01,29.58,33.86,33.3,28.64,27.3,27.33,25.4,20.48,16.47
14,Mathura,15.59,17.46,23.48,29.27,33.7,34.01,30.58,28.92,28.75,26.26,20.77,16.25
15,Moradabad,14.35,17.06,22.62,29.01,32.95,33.54,30.53,29.25,28.67,26.07,20.48,15.54
16,Sitapur,15.27,17.7,23.82,29.6,33.14,33.53,30.3,29.21,29.05,26.14,20.49,16.515
17,Allahabad,15.98,18.83,24.36,29.69,33.88,33.26,29.24,28.24,28.16,25.7,20.57,16.53
18,Bareilly,14.81,17.17,22.93,29.27,32.8,33.18,30.19,29.22,29.0,25.78,20.7,15.67
19,Etawah,14.99,18.203,23.96,30.18,34.35,34.89,30.84,29.04,28.91,26.24,20.81,15.91
